name            type         lonmin    latmin    dlon    dlat    lon_off  lat_off   nlon  nlat
'GEOS4_1.25x1'  'lat_lon'    -180.625   -90.5     1.25    1.        0.5      0.5     288   181
'ECMWF_1x0.99'  'lat_lon'    -180.      -89.      1.      0.9944    0.5      0.5     360   180
'ECMWF_1x1'     'lat_lon'    -180.      -90.      1.      1.        0.5      0.5     360   180
'ECMWF_1x1_red' 'lat_lon'    -180.      -55.      1.      1.        0.5      0.5     360   145
'NCEP_1x1'      'lat_lon'    -180.      -90.      1.      1.        0.5      0.5     360   180
'ECMWF_4x5'     'lat_lon'    -180.      -89.      5.      4.9944    0.5      0.5      72    44
'NCEP_2x2'      'lat_lon'    -180.9375  -89.521   1.875   1.9047    0.5      0.5     192    94
'NCEP_5x5'      'lat_lon'    -180.      -90.      5.      5.        0.5      0.5      72    36
'CSU_1.25x1'    'lat_lon'    -180.      -90.      1.25    1.        0.5      0.5     288   180
'nsidc_polar'   'polar'      -180.25    -90.25     .5     .25       0.5      0.5     721   721
'nsidc_.25x.25' 'lat_lon'    -180.      -90.       .25    .25       0.5      0.5    1440   720
'NARR_.25x.25'  'lat_lon'    -170.       10.       .25    .25       0.5      0.5     480   296
'PCTM_2.5x2'    'lat_lon'    -180.      -91.      2.5    2.         0.5      0.5     144    91
'GIMMSg_8km'    'lat_lon'    -179.55303 -62.981244 0.072727 0.072727 0.5     0.5    4943  2104
'GIMMS_test'    'lat_lon'    -180.      -62.981244 0.072727 0.072727 0.5     0.5    4943  2104
'UM_3.75_5'     'lat_lon'    -180.      -90.      5.0    3.75       0.5      0.5      72    48
'CESM_3.75_3.75' 'lat_lon'   -180.      -90.      3.75   3.75       0.5      0.5      96    48
'GIMMS_NA'      'lat_lon'    -143.913    -2.417   0.06388 0.05571   0.5      0.5    1280  1024
'TM3_3.75x5'    'lat_lon'    -180.      -90.      5.0    3.75       0.5      0.5      72    48
'geodesic'      'lat_lon'    -180.      -90.      0.     0.         0.5      0.5       1 10242
'single_pt'     'lat_lon'       0.        0.      0.     0.         0.5      0.5       1     1
'Gen_0.5x0.5'   'lat_lon'    -180.      -90.      0.5    0.5        0.5      0.5     720   360
'RCN_0.5x0.5'   'lat_lon'    -180.      27.       0.5    0.5        0.5      0.5     720   123
'RCN_0.9x1.25'  'lat_lon'    -180.      -90.      1.25    0.94241   0.5      0.5     288   192
'Gen_0.5x0.5'   'lat_lon'    -180.      -90.      0.5    0.5        0.5      0.5     720   360
'NCSCD_0.5x0.5' 'lat_lon'    -180.       34.5     0.5    0.5        0.5      0.5     720   111
'conus_250'     'lat_lon'    -127.977889 22.801687 0.0027139 0.0027139 0.5  0.5   23111 10630
'era40_n80_red' 'red_gauss'  -180.      -89.7192  1.125   1.12149   1.       0.5     320   160
'era40_n80_ful' 'lat_lon'    -180.      -89.7192  1.125   1.12149   0.5      0.5     320   160
'FIA_NA_.5x.5'  'lat_lon'    -170.       10.5      .5      .5       0.5      0.5     240   148
'FIA_NA_1x1'    'lat_lon'    -170.       10.      1.      1.        0.5      0.5     120    74
'ERA40_1.4x1.4' 'lat_lon'    -180.      -88.94889 1.406251 1.40077  0.5      0.5     256   128
'Synmap_30_as'  'lat_lon'    -180.      -90.      8.333e-3 1.029e-2 0.5      0.5   43200 17500
'nldas_conus'   'lat_lon'    -124.9375   25.0625  0.125    0.125    0.5      0.5     464   224
'CCCMA'         'lat_lon'    -1.40625   -90.      2.8125   2.8125   0.5      0.5     128    64
'InSAR_Barrow'  'lat_lon'    -156.890767104 71.200409807   5.549185d-04   1.793319d-04   0.5   0.0  886  818
'InSAR_Prudhoe' 'lat_lon'    -149.501111111 69.948888889   0.001111111     0.001111111   0.5   0.5  2252  452
'InSAR_Toolik'  'lat_lon'    -149.818055556 68.462777778   5.5491869d-04   1.79332d-04   0.5   0.0  2284  4094
'nsidc_ease'    'lat_lon'    -180.      -70.      0.2603   0.25     0.5      0.5    1383   586
'DEM_Toolik'    'lat_lon'    -149.78282514 68.4715374272 1.2445550722E-03 4.4822949346E-04 0.5 0.5 624  735





